section,key,value1,value2,value3,value4
DIRECT_READING,,One way that people contact each other is through trade.,사람들이 서로 연락하는 한 가지 방법은 무역을 통해서이다.,One way|that people contact each other|is through trade.,"[{""type"":""관계대명사"",""label"":""that people contact"",""description"":""목적격 관계대명사 that: 선행사(One way)를 수식하는 형용사절을 이끈다"",""highlight"":""that people contact each other""}]"
DIRECT_READING,,Trade is the buying and selling of goods and services.,무역은 상품과 서비스를 사고파는 것이다.,Trade is the buying and selling|of goods and services.,
DIRECT_READING,,Trade between different countries is called international trade.,서로 다른 국가 간의 무역은 국제 무역이라고 불린다.,Trade between different countries|is called international trade.,"[{""type"":""수동태"",""label"":""is called"",""description"":""be called: ~라고 불리다 (5형식 수동)"",""highlight"":""is called international trade""}]"
DIRECT_READING,,Many companies try to sell their goods all around the world.,많은 기업들은 전 세계에 자사의 상품을 팔려고 한다.,Many companies try|to sell their goods|all around the world.,"[{""type"":""to부정사"",""label"":""try to sell"",""description"":""try + to부정사: ~하려고 하다"",""highlight"":""try to sell their goods""}]"
DIRECT_READING,,"When they send their goods to another country, they are exporting them.",그들이 상품을 다른 나라로 보낼 때 그들은 그것을 수출하는 것이다.,"When they send their goods|to another country,|they are exporting them.","[{""type"":""접속사"",""label"":""When ~"",""description"":""when + 주어 + 동사: ~할 때 (시간의 부사절)"",""highlight"":""When they send their goods to another country""}]"
DIRECT_READING,,Many companies buy resources and other products from other countries as well.,많은 기업들은 다른 나라들로부터 자원과 기타 제품들을 구매하기도 한다.,Many companies buy resources and other products|from other countries|as well.,
DIRECT_READING,,"When they bring in goods from another country, they are importing them.",그들이 다른 나라로부터 상품을 들여올 때 그들은 그것을 수입하는 것이다.,"When they bring in goods|from another country,|they are importing them.","[{""type"":""동사구"",""label"":""bring in"",""description"":""bring in: 들여오다, 가져오다 (타동사 + 부사)"",""highlight"":""bring in goods""}]"
DIRECT_READING,,Most countries try to export more than they import.,대부분의 국가들은 수입하는 것보다 더 많이 수출하려고 한다.,Most countries try|to export more|than they import.,"[{""type"":""비교급"",""label"":""more than"",""description"":""비교급 + than: ~보다 더 …한 (비교 구문)"",""highlight"":""export more than they import""}]"
DIRECT_READING,,"Many times, when goods are imported, the buyer must pay a tariff.",흔히 상품이 수입될 때 구매자는 관세를 지불해야 한다.,"Many times,|when goods are imported,|the buyer must pay a tariff.","[{""type"":""수동태"",""label"":""are imported"",""description"":""be동사 + p.p: ~되다 (수동태)"",""highlight"":""when goods are imported""},{""type"":""조동사"",""label"":""must pay"",""description"":""must + 동사원형: ~해야 한다 (강한 의무)"",""highlight"":""must pay a tariff""}]"
DIRECT_READING,,A tariff is a tax that a government collects on imported goods.,관세는 정부가 수입품에 부과하는 세금이다.,A tariff is a tax|that a government collects|on imported goods.,"[{""type"":""관계대명사"",""label"":""that a government collects"",""description"":""목적격 관계대명사 that: a government collects it 에서 it이 선행사(a tax)와 연결되며 생략 가능"",""highlight"":""that a government collects on imported goods""}]"
