section,key,value1,value2,value3,value4
DIRECT_READING,,"起床以后 / 我 / 先刷牙，洗脸， / 然后 / 吃早饭。","Qǐchuáng yǐhòu / wǒ / xiān shuāyá, xǐliǎn, / ránhòu / chī zǎofàn.","일어난 후에 / 나는 / 먼저 이 닦고, 세수하고, / 그런 다음 / 아침을 먹는다.","先~，然后~ : 시간·순서 접속사."
DIRECT_READING,,"我 / 坐公共汽车 / 去 / 学校。","Wǒ / zuò gōnggòng qìchē / qù / xuéxiào.",나 / 버스를 타고 / 가다 / 학교에.,"연동문: 앞 동사 「坐」가 수단, 뒤 동사 「去」가 주 동작."
LESSON_BREAK,,,,,
META,hskLevel,3,,,
META,unitNumber,02,,,
META,title,我喜欢的运动,,,
META,titlePinyin,Wǒ xǐhuan de yùndòng,,,
META,titleKorean,내가 좋아하는 운동,,,
META,category,HSK 3급 · 일상 회화,,,
META,previewQuestion,어떤 운동을 좋아하나요? 중국어로 어떻게 말할까요?,,,
META,passageTitle,我喜欢的运动,,,
META,passageTitlePinyin,Wǒ xǐhuan de yùndòng,,,
META,passageTitleKorean,내가 좋아하는 운동,,,
PREVIEW_CARD,,我喜欢跑步,,,
PREVIEW_CARD,,周末去打篮球,,,
PREVIEW_CARD,,运动让我很健康,,,
VOCAB,,运动,yùndòng,운동/운동하다,명사/동사
VOCAB,,喜欢,xǐhuan,좋아하다,동사
VOCAB,,跑步,pǎobù,달리기,동사
VOCAB,,篮球,lánqiú,농구,명사
VOCAB,,游泳,yóuyǒng,수영,명사/동사
VOCAB,,健康,jiànkāng,건강하다,형용사
VOCAB,,身体,shēntǐ,신체·몸,명사
VOCAB,,周末,zhōumò,주말,명사
PASSAGE,,"我最喜欢的运动是跑步。我觉得跑步不但很简单，而且对身体非常好。","Wǒ zuì xǐhuan de yùndòng shì pǎobù. Wǒ juéde pǎobù búdàn hěn jiǎndān, érqiě duì shēntǐ fēicháng hǎo.","제가 가장 좋아하는 운동은 달리기입니다. 저는 달리기가 간단할 뿐만 아니라, 몸에도 아주 좋다고 생각합니다.",
PASSAGE,,"每个星期六早上，我都跟朋友一起去公园跑步。有时候我们也打篮球或者游泳。","Měi ge xīngqīliù zǎoshang, wǒ dōu gēn péngyou yìqǐ qù gōngyuán pǎobù. Yǒu shíhòu wǒmen yě dǎ lánqiú huòzhě yóuyǒng.","매주 토요일 아침, 저는 친구와 함께 공원에 달리러 갑니다. 때로는 농구를 하거나 수영도 합니다.",
QUESTION_MCQ,他最喜欢的运动是什么？,篮球,游泳,跑步,足球
QUESTION_ANSWER,2,,,,
QUESTION_EXPLAIN,본문 첫 문장 「我最喜欢的运动是跑步」.,,,,
QUESTION_FILL,每个星期六早上，他跟朋友一起去 ___ 跑步。,公园,,,
QUESTION_TRANSKZ,저는 달리기가 간단할 뿐만 아니라 몸에도 좋다고 생각합니다.,"我觉得跑步不但很简单，而且对身体非常好。",,,
DIRECT_READING,,"我最喜欢的 / 运动 / 是 / 跑步。","Wǒ zuì xǐhuan de / yùndòng / shì / pǎobù.",내가 가장 좋아하는 / 운동 / 은 / 달리기이다.,"「A 是 B」 판단문 구조."
DIRECT_READING,,"跑步 / 不但 / 很简单， / 而且 / 对身体 / 非常好。","Pǎobù / búdàn / hěn jiǎndān, / érqiě / duì shēntǐ / fēicháng hǎo.",달리기는 / (뿐만 아니라) / 간단하며, / (게다가) / 몸에 대해 / 매우 좋다.,"不但~，而且~ : 「A뿐만 아니라 B도」 병렬 접속사."
