section,key,value1,value2,value3,value4
RE_SKILL_INTRO,,"A concept map helps you organize information in a visual way. To create a concept map, write the general topic or main idea of the text in the center. Then write other key ideas around the main idea. Link the ideas with lines to show how they connect. After that, add and link additional details. Generally, ideas in the middle of a concept map are more general. Ideas further from the middle are usually smaller details.",,,
RE_SKILL_NODE,center,Dreams,,,
RE_SKILL_NODE,major,Facts about dreams,center,,
RE_SKILL_NODE,major,Why we dream,center,,
RE_SKILL_NODE,major,The meaning of dreams,center,,
RE_SKILL_NODE,leaf,"can have 6 dreams a night, each lasts ___",n_major1,"10 to 40 minutes",
RE_SKILL_NODE,leaf,everyone dreams, but not everyone ___ their dreams,n_major1,remembers,
RE_SKILL_NODE,leaf,"most dreams are in ___, with sound, and about ourselves and people we know",n_major1,color,
RE_SKILL_NODE,leaf,to figure out ___,n_major2,problems,
RE_SKILL_NODE,leaf,to help us learn from the ___,n_major2,past,
RE_SKILL_NODE,leaf,"meet someone while in pajamas = result of a(n) ___ situation",n_major3,embarrassing,
RE_SKILL_NODE,leaf,"flying = you're happy; a good time in your life",n_major3,,
RE_SKILL_NODE,leaf,"didn't study for a test = probably ___ about a future event",n_major3,worried,
RE_VOCAB_BANK,lasts|periods|prepare|results|useful|worried,,,,
RE_VOCAB_COMPLETION,,"We spend about one-third of our lives sleeping. Children usually need a lot of sleep because they are still growing. Older people need to sleep for shorter ___ of time. Sleep that ___ seven or eight hours is enough for most people. However, a lot of people don't get enough sleep. One of the ___ of this is that we can become angry or ___ more easily. If you have trouble sleeping, you can ___ for sleep by taking a warm bath or listening to slow music. Some people also find it ___ to drink warm milk.",,,
RE_VOCAB_ANSWER,periods|lasts|results|worried|prepare|useful,,,,
RE_DEFINITION,problems,things that are difficult to deal with,,,
RE_DEFINITION,memory,something you remember,,,
RE_DEFINITION,prepare,to get ready for something,,,
RE_DEFINITION,period,a length of time in which something happens,,,
RE_WORDFORM_EXPLAIN,,"Some adjectives that end with -ed can also end with -ing (e.g., worried → worrying). The different endings give a slightly different meaning. Adjectives ending in -ed describe how you feel about a situation. Adjectives ending in -ing describe what causes the feeling.",,,
RE_WORDFORM,1,I find that singing in front of others is really ___.,embarrassed|embarrassing,1
RE_WORDFORM,2,I read some really ___ news yesterday.,worried|worrying,1
RE_WORDFORM,3,"Whenever I'm ___, my face turns red.",embarrassed|embarrassing,0
RE_WORDFORM,4,I'm feeling really ___ about the exam tomorrow.,worried|worrying,0
DIRECT_READING,,Our dreams come from a part of the brain that contains our thoughts and memories.,우리의 꿈은 생각과 기억이 들어있는 뇌의 한 부분에서 온다.,"Our dreams|come from a part of the brain|that contains our thoughts and memories",
DIRECT_READING,,A person can have up to six dreams a night.,사람은 하룻밤에 최대 여섯 번의 꿈을 꿀 수 있다.,"A person|can have up to six dreams|a night",
DIRECT_READING,,Each one usually lasts from 10 to 40 minutes.,각각은 보통 10분에서 40분 동안 지속된다.,"Each one|usually lasts|from 10 to 40 minutes",
DIRECT_READING,,Everyone dreams, but not everyone remembers their dreams.,모두가 꿈을 꾸지만 모두가 자신의 꿈을 기억하는 것은 아니다.,"Everyone dreams,|but not everyone|remembers their dreams",
DIRECT_READING,,Most people dream in color, usually with sound.,대부분의 사람들은 보통 소리와 함께 컬러로 꿈을 꾼다.,"Most people|dream in color,|usually with sound",
DIRECT_READING,,"Dreams can tell us a lot about ourselves, and can help us figure out problems.",꿈은 우리 자신에 대해 많은 것을 알려주고 문제를 해결하는 데 도움을 줄 수 있다.,"Dreams|can tell us a lot about ourselves,|and can help us|figure out problems",
DIRECT_READING,,Stickgold says that dreaming about past events is useful because it helps us learn from them.,스틱골드는 과거 사건에 대한 꿈을 꾸는 것이 그것으로부터 배우는 데 도움이 되기 때문에 유용하다고 말한다.,"Stickgold says|that dreaming about past events|is useful|because it helps us|learn from them",
DIRECT_READING,,This dream may be the result of an embarrassing event in your life.,이 꿈은 당신의 삶에서 당황스러운 사건의 결과일 수 있다.,"This dream|may be the result of|an embarrassing event|in your life",
DIRECT_READING,,"If you dream about flying, you are probably quite happy.",비행하는 꿈을 꾼다면 당신은 아마 매우 행복한 것이다.,"If you dream about flying,|you are probably|quite happy",
DIRECT_READING,,This is a good period in your life.,이것은 당신의 삶에서 좋은 시기이다.,"This is|a good period|in your life",
DIRECT_READING,,This probably means you are worried about an important future event.,이것은 아마 당신이 중요한 미래 사건에 대해 걱정하고 있다는 것을 의미한다.,"This probably means|you are worried|about an important future event",
DIRECT_READING,,"If you haven't prepared for it, your dream may be telling you, ""It's time to get to work!""","준비하지 않았다면, 당신의 꿈은 ""일할 시간이야!""라고 말하고 있는 것일 수 있다.","If you haven't prepared for it,|your dream may be telling you,|""It's time to get to work!"""
