section,key,value1,value2,value3,value4
QUESTION_COMPLETE,,"___ we call them, we use them every day.",Whatever,,
QUESTION_COMPLETE,,"Then, in 1795, someone started making pencils from ___, and they became very popular.",graphite,,
VOCAB_REVIEW_BANK,,ballpoint pens,,,
VOCAB_REVIEW_BANK,,shape,,,
VOCAB_REVIEW_BANK,,lead,,,
VOCAB_REVIEW_BANK,,holds,,,
VOCAB_REVIEW_BANK,,graphite,,,
VOCAB_REVIEW_BANK,,ink,,,
VOCAB_REVIEW_BANK,,leaks,,,
VOCAB_REVIEW_BANK,,fill,,,
VOCAB_REVIEW_BANK,,grind,,,
VOCAB_REVIEW_BANK,,fountain pen,,,
VOCAB_REVIEW_BANK,,point,,,
VOCAB_REVIEW_BANK,,dipped,,,
VOCAB_REVIEW_BANK,,whatever,,,
VOCAB_REVIEW,,Our shower ___. A little water runs out of it all day.,leaks,,
VOCAB_REVIEW,,A bathtub ___ a lot of water.,holds,,
VOCAB_REVIEW,,You should have a good ___ on your pencil.,point,,
VOCAB_REVIEW,,I hope they ___ the hole in the road soon. It's dangerous.,fill,,
VOCAB_REVIEW,,The sun has the ___ of a circle.,shape,,
VOCAB_REVIEW,,Students a hundred years ago always had a bottle of ___ on their desks.,ink,,
VOCAB_REVIEW,,She ___ her fingers in the water to see if it was cold.,dipped,,
VOCAB_REVIEW,,We ___ coffee before we mix it with hot water.,grind,,
VOCAB_REVIEW,,"Most people use ___, but some people prefer fountain pens.",ballpoint pens,,
VOCAB_REVIEW,,"At a cafeteria, you can choose ___ you want to eat.",whatever,,
VOCAB_REVIEW,,Pencils are still made with ___.,graphite,,
VOCAB_REVIEW,,Elena filled her new ___ with purple ink.,fountain pen,,
QUESTION_COMPLETE,wordBank,apart|slide|embarrassed|immediately|bend|row|member|stamp|dozen|hook,,,
QUESTION_COMPLETE,,There are about a ___ students in the class. It is a small class.,dozen,,
QUESTION_COMPLETE,,"If you want to be on time, you should leave ___.",immediately,,
QUESTION_COMPLETE,,Are you a ___ of any clubs or organizations?,member,,
QUESTION_COMPLETE,,People often ___ over when they talk to children.,bend,,
QUESTION_COMPLETE,,A children's park usually has a ___ and a swing.,slide,,
QUESTION_COMPLETE,,Masako was ___ when she gave the wrong answer in class.,embarrassed,,
QUESTION_COMPLETE,,"Robert took his bicycle ___, and now he can't put it back together again.",apart,,
QUESTION_COMPLETE,,There is a ___ on the back of the door. You can hang your coat on it.,hook,,
QUESTION_COMPLETE,,Maria always sits in the front ___ of the class.,row,,
QUESTION_COMPLETE,,Jay put a ___ on the letter and mailed it at the post office.,stamp,,
QUESTION_MC,,multiple_choice,A ___ described a pencil in 1565.,Hungarian|Swiss|Swede|German,1
QUESTION_MC,,multiple_choice,The first pencils had ___ in them.,gold|graphite|lead|ink,2
QUESTION_MC,,multiple_choice,One pencil can write ___ English words.,"50,000|55,000|55|1565",0
QUESTION_MC,,multiple_choice,The first pens were ___.,wooden|stone|feathers|graphite,2
QUESTION_MC,,multiple_choice,The next pens had a ___ point.,wooden|lead|metal|silver,2
QUESTION_MC,,multiple_choice,A fountain pen can hold ___ inside it.,coal|lead|graphite|ink,3
QUESTION_MC,,multiple_choice,The Biro brothers made thousands of pens in ___.,England|Hungary|France|Switzerland,0
QUESTION_MC,,multiple_choice,___ are best for writing in airplanes.,Ballpoint pens|Pencils|Fountain pens|a and b,3
QUESTION_MC,,multiple_choice,People burn ___.,coal and graphite|graphite and lead|coal and wood|lead and coal,2
QUESTION_MC,,multiple_choice,People grind ___.,"hamburger meat|coffee|graphite|a, b, and c",3
QUESTION_FILL,,Describe the pencils in 1565.,,,
QUESTION_FILL,,Describe a modern pencil.,,,
QUESTION_FILL,,How do people make pencils today?,,,
QUESTION_FILL,,What kind of pens did people write with after feather pens?,,,
QUESTION_FILL,,Why was a fountain pen better than the old pens?,,,
QUESTION_FILL,,Who invented the ballpoint pen?,,,
QUESTION_FILL,,Where were the inventors of the ballpoint pen from?,,,
QUESTION_FILL,,Why is a ballpoint pen better than a fountain pen for a pilot?,,,
QUESTION_FILL,,Why does a fountain pen leak in an airplane?,,,
QUESTION_FILL,,In what country were Bic pens first made?,,,
QUESTION_FILL,,Where did the word biro come from?,,,
QUESTION_FILL,,Which is better—a pencil or a ballpoint pen?,,,
QUESTION_MC,,main_idea,Which is the main idea of this lesson? Choose one.,There were several kinds of pens before ballpoint pens.|We use pens and pencils every day.|Ballpoint pens and pencils are very useful inventions.,2
